model,family,combination,saved_filename,params,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,valid_accuracy,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,train_accuracy,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,valid_false_positives,valid_false_negatives,train_false_positives,train_false_negatives,training_time_seconds,training_time_minutes,best_cv_pr_auc,overfitting_gap,Precision (Fraud),Recall (Fraud),F1-Score,False Positives,False Negatives
XGBoost (Combo 35),XGBoost,35,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.851612,0.98279,0.943396,0.793651,0.862069,0.999577,1.0,1.0,1.0,1.0,1.0,1.0,0.148388,0.01721,0.056604,0.206349,0.137931,18,78,0,0,11.3045,0.1884,0.851612,0.148388,0.943396,0.793651,0.862069,18,78
XGBoost (Combo 143),XGBoost,143,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.850916,0.982647,0.943218,0.791005,0.860432,0.999573,1.0,1.0,1.0,1.0,1.0,1.0,0.149084,0.017353,0.056782,0.208995,0.139568,18,79,0,0,11.6415,0.194,0.850916,0.149084,0.943218,0.791005,0.860432,18,79
XGBoost (Combo 89),XGBoost,89,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.850886,0.98379,0.943396,0.793651,0.862069,0.999577,1.0,1.0,1.0,1.0,1.0,1.0,0.149114,0.01621,0.056604,0.206349,0.137931,18,78,0,0,11.5807,0.193,0.850886,0.149114,0.943396,0.793651,0.862069,18,78
XGBoost (Combo 137),XGBoost,137,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=4_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.850542,0.983507,0.94375,0.798942,0.86533,0.999586,1.0,1.0,1.0,1.0,1.0,1.0,0.149458,0.016493,0.05625,0.201058,0.13467,18,76,0,0,10.5644,0.1761,0.850542,0.149458,0.94375,0.798942,0.86533,18,76
XGBoost (Combo 33),XGBoost,33,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.85039,0.983114,0.946372,0.793651,0.863309,0.999581,1.0,1.0,1.0,1.0,1.0,1.0,0.14961,0.016886,0.053628,0.206349,0.136691,17,78,0,0,8.2838,0.1381,0.85039,0.14961,0.946372,0.793651,0.863309,17,78
XGBoost (Combo 125),XGBoost,125,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=6_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.850264,0.982896,0.940994,0.801587,0.865714,0.999586,1.0,1.0,1.0,1.0,1.0,1.0,0.149736,0.017104,0.059006,0.198413,0.134286,19,75,0,0,11.9882,0.1998,0.850264,0.149736,0.940994,0.801587,0.865714,19,75
XGBoost (Combo 87),XGBoost,87,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.849903,0.983664,0.946203,0.791005,0.861671,0.999577,1.0,1.0,1.0,1.0,1.0,1.0,0.150097,0.016336,0.053797,0.208995,0.138329,17,79,0,0,8.4634,0.1411,0.849903,0.150097,0.946203,0.791005,0.861671,17,79
XGBoost (Combo 65),XGBoost,65,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=4_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.849009,0.982744,0.940439,0.793651,0.860832,0.999573,0.997186,0.999994,0.994334,0.928571,0.960328,0.999872,0.148177,0.01725,0.053895,0.134921,0.099496,19,78,2,27,10.192,0.1699,0.849009,0.148177,0.940439,0.793651,0.860832,19,78
XGBoost (Combo 141),XGBoost,141,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.849001,0.982434,0.94586,0.785714,0.858382,0.999568,1.0,1.0,1.0,1.0,1.0,1.0,0.150999,0.017566,0.05414,0.214286,0.141618,17,81,0,0,8.5907,0.1432,0.849001,0.150999,0.94586,0.785714,0.858382,17,81
XGBoost (Combo 71),XGBoost,71,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=6_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.848998,0.984056,0.943574,0.796296,0.863702,0.999581,1.0,1.0,1.0,0.997354,0.998675,0.999996,0.151002,0.015944,0.056426,0.201058,0.134974,18,77,0,1,11.6275,0.1938,0.848998,0.151002,0.943574,0.796296,0.863702,18,77
