family,rank_within_family,model,source_filename,candidate_filename,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,training_time_seconds
XGBoost,1,XGBoost (Combo 35),XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,XGBoost_rank1_XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,0.851612,0.98279,0.943396,0.793651,0.862069,1.0,1.0,1.0,1.0,1.0,0.148388,0.01721,0.056604,0.206349,0.137931,11.3045
XGBoost,2,XGBoost (Combo 143),XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,XGBoost_rank2_XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,0.850916,0.982647,0.943218,0.791005,0.860432,1.0,1.0,1.0,1.0,1.0,0.149084,0.017353,0.056782,0.208995,0.139568,11.6415
XGBoost,3,XGBoost (Combo 89),XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,XGBoost_rank3_XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=0.8.joblib,0.850886,0.98379,0.943396,0.793651,0.862069,1.0,1.0,1.0,1.0,1.0,0.149114,0.01621,0.056604,0.206349,0.137931,11.5807
RandomForest,1,RandomForest (Combo 9),RandomForest_max_depth=15_min_samples_split=2_n_estimators=100.joblib,RandomForest_rank1_RandomForest_max_depth=15_min_samples_split=2_n_estimators=100.joblib,0.825403,0.95826,0.886957,0.809524,0.846473,1.0,1.0,0.910843,1.0,0.953342,0.174597,0.04174,0.023887,0.190476,0.106869,35.4394
RandomForest,2,RandomForest (Combo 11),RandomForest_max_depth=15_min_samples_split=5_n_estimators=100.joblib,RandomForest_rank2_RandomForest_max_depth=15_min_samples_split=5_n_estimators=100.joblib,0.824536,0.96362,0.871795,0.809524,0.839506,1.0,1.0,0.902148,1.0,0.948557,0.175464,0.03638,0.030353,0.190476,0.109051,35.6932
RandomForest,3,RandomForest (Combo 12),RandomForest_max_depth=15_min_samples_split=5_n_estimators=200.joblib,RandomForest_rank3_RandomForest_max_depth=15_min_samples_split=5_n_estimators=200.joblib,0.824525,0.970181,0.875,0.814815,0.843836,1.0,1.0,0.895735,1.0,0.945,0.175475,0.029819,0.020735,0.185185,0.101164,69.8153
KNN,1,KNN (Combo 12),KNN_n_neighbors=7_p=2_weights=distance.joblib,KNN_rank1_KNN_n_neighbors=7_p=2_weights=distance.joblib,0.812524,0.924457,0.920128,0.761905,0.833575,1.0,1.0,1.0,1.0,1.0,0.187476,0.075543,0.079872,0.238095,0.166425,63.383
KNN,2,KNN (Combo 14),KNN_n_neighbors=11_p=1_weights=distance.joblib,KNN_rank2_KNN_n_neighbors=11_p=1_weights=distance.joblib,0.811895,0.923085,0.919872,0.759259,0.831884,1.0,1.0,1.0,1.0,1.0,0.188105,0.076915,0.080128,0.240741,0.168116,237.8455
KNN,3,KNN (Combo 10),KNN_n_neighbors=7_p=1_weights=distance.joblib,KNN_rank3_KNN_n_neighbors=7_p=1_weights=distance.joblib,0.809825,0.923136,0.923077,0.761905,0.834783,1.0,1.0,1.0,1.0,1.0,0.190175,0.076864,0.076923,0.238095,0.165217,220.4734
MLP,1,MLP (Combo 4),"MLP_epochs=15_hidden_sizes=(128, 64)_lr=0.0001.joblib","MLP_rank1_MLP_epochs=15_hidden_sizes=(128, 64)_lr=0.0001.joblib",0.743826,0.984016,0.081075,0.910053,0.148886,0.766674,0.996317,0.087029,0.960317,0.159596,0.022848,0.012301,0.005955,0.050265,0.01071,144.9599
MLP,2,MLP (Combo 3),"MLP_epochs=15_hidden_sizes=(128, 64)_lr=0.001.joblib","MLP_rank2_MLP_epochs=15_hidden_sizes=(128, 64)_lr=0.001.joblib",0.737735,0.974163,0.133333,0.883598,0.231703,0.78551,0.99952,0.108652,1.0,0.196007,0.047775,0.025357,-0.024681,0.116402,-0.035696,150.8675
MLP,3,MLP (Combo 2),"MLP_epochs=15_hidden_sizes=(64, 32)_lr=0.0001.joblib","MLP_rank3_MLP_epochs=15_hidden_sizes=(64, 32)_lr=0.0001.joblib",0.734496,0.980882,0.080161,0.896825,0.147167,0.752446,0.992929,0.082885,0.936508,0.152291,0.01795,0.012047,0.002724,0.039683,0.005123,147.7136
LogisticRegression,1,LogisticRegression (Combo 8),LogisticRegression_C=10.0_solver=liblinear.joblib,LogisticRegression_rank1_LogisticRegression_C=10.0_solver=liblinear.joblib,0.738915,0.980459,0.059673,0.917989,0.112062,0.742834,0.989753,0.061522,0.925926,0.115378,0.00392,0.009293,0.001849,0.007937,0.003316,9.14
